employee_name,user_id,email,domain,role
Employee U0001,U0001,u0001@example.com,example.com,Employee
Employee U0002,U0002,u0002@example.com,example.com,Employee
Employee U0003,U0003,u0003@example.com,example.com,Employee
Employee U0004,U0004,u0004@example.com,example.com,Employee
Employee U0005,U0005,u0005@example.com,example.com,Employee
Employee U0006,U0006,u0006@example.com,example.com,Employee
Employee U0007,U0007,u0007@example.com,example.com,Employee
Employee U0008,U0008,u0008@example.com,example.com,Employee
Employee U0009,U0009,u0009@example.com,example.com,Employee
Employee U0010,U0010,u0010@example.com,example.com,Employee
Employee U0011,U0011,u0011@example.com,example.com,Employee
Employee U0012,U0012,u0012@example.com,example.com,IT Admin
Employee U0013,U0013,u0013@example.com,example.com,IT Admin
Employee U0014,U0014,u0014@example.com,example.com,IT Admin
Employee U0015,U0015,u0015@example.com,example.com,Employee
Employee U0016,U0016,u0016@example.com,example.com,Employee
Employee U0017,U0017,u0017@example.com,example.com,Employee
Employee U0018,U0018,u0018@example.com,example.com,Employee
Employee U0019,U0019,u0019@example.com,example.com,Employee
Employee U0020,U0020,u0020@example.com,example.com,IT Admin
Employee U0021,U0021,u0021@example.com,example.com,Employee
Employee U0022,U0022,u0022@example.com,example.com,Employee
Employee U0023,U0023,u0023@example.com,example.com,Employee
Employee U0024,U0024,u0024@example.com,example.com,Employee
Employee U0025,U0025,u0025@example.com,example.com,Employee
Employee U0026,U0026,u0026@example.com,example.com,Employee
Employee U0027,U0027,u0027@example.com,example.com,Employee
Employee U0028,U0028,u0028@example.com,example.com,IT Admin
Employee U0029,U0029,u0029@example.com,example.com,Employee
Employee U0030,U0030,u0030@example.com,example.com,Employee
Employee U0031,U0031,u0031@example.com,example.com,Employee
Employee U0032,U0032,u0032@example.com,example.com,Employee
Employee U0033,U0033,u0033@example.com,example.com,Employee
Employee U0034,U0034,u0034@example.com,example.com,IT Admin
Employee U0035,U0035,u0035@example.com,example.com,Employee
Employee U0036,U0036,u0036@example.com,example.com,IT Admin
Employee U0037,U0037,u0037@example.com,example.com,Employee
Employee U0038,U0038,u0038@example.com,example.com,Employee
Employee U0039,U0039,u0039@example.com,example.com,Employee
Employee U0040,U0040,u0040@example.com,example.com,Employee
Employee U0041,U0041,u0041@example.com,example.com,Employee
Employee U0042,U0042,u0042@example.com,example.com,Employee
Employee U0043,U0043,u0043@example.com,example.com,Employee
Employee U0044,U0044,u0044@example.com,example.com,IT Admin
Employee U0045,U0045,u0045@example.com,example.com,IT Admin
Employee U0046,U0046,u0046@example.com,example.com,IT Admin
Employee U0047,U0047,u0047@example.com,example.com,Employee
Employee U0048,U0048,u0048@example.com,example.com,Employee
Employee U0049,U0049,u0049@example.com,example.com,IT Admin
Employee U0050,U0050,u0050@example.com,example.com,Employee
Employee U0051,U0051,u0051@example.com,example.com,Employee
Employee U0052,U0052,u0052@example.com,example.com,Employee
Employee U0053,U0053,u0053@example.com,example.com,Employee
Employee U0054,U0054,u0054@example.com,example.com,Employee
Employee U0055,U0055,u0055@example.com,example.com,Employee
Employee U0056,U0056,u0056@example.com,example.com,Employee
Employee U0057,U0057,u0057@example.com,example.com,Employee
Employee U0058,U0058,u0058@example.com,example.com,Employee
Employee U0059,U0059,u0059@example.com,example.com,Employee
Employee U0060,U0060,u0060@example.com,example.com,Employee
Employee U0061,U0061,u0061@example.com,example.com,Employee
Employee U0062,U0062,u0062@example.com,example.com,Employee
Employee U0063,U0063,u0063@example.com,example.com,Employee
Employee U0064,U0064,u0064@example.com,example.com,Employee
Employee U0065,U0065,u0065@example.com,example.com,Employee
Employee U0066,U0066,u0066@example.com,example.com,Employee
Employee U0067,U0067,u0067@example.com,example.com,Employee
Employee U0068,U0068,u0068@example.com,example.com,Employee
Employee U0069,U0069,u0069@example.com,example.com,Employee
Employee U0070,U0070,u0070@example.com,example.com,Employee
Employee U0071,U0071,u0071@example.com,example.com,Employee
Employee U0072,U0072,u0072@example.com,example.com,Employee
Employee U0073,U0073,u0073@example.com,example.com,Employee
Employee U0074,U0074,u0074@example.com,example.com,Employee
Employee U0075,U0075,u0075@example.com,example.com,Employee
Employee U0076,U0076,u0076@example.com,example.com,Employee
Employee U0077,U0077,u0077@example.com,example.com,Employee
Employee U0078,U0078,u0078@example.com,example.com,Employee
Employee U0079,U0079,u0079@example.com,example.com,Employee
Employee U0080,U0080,u0080@example.com,example.com,IT Admin
